更新时间: 2025-12-13 01:35:16（北京时间）

更新时间,#genre#
2025-12-13 01:35:16,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV13,http://117.90.94.229:6000/rtp/239.49.1.13:6000$江苏电信
CCTV13,http://180.111.29.214:8888/rtp/239.49.1.13:6000$江苏电信
CCTV13,http://183.7.144.126:8880/udp/239.77.0.42:5146$广东电信
CCTV13,http://183.7.144.126:8880/udp/239.77.1.26:5146$广东电信
CCTV14,http://113.78.252.42:4000/udp/239.77.0.43:5146$广东电信
CCTV14,http://113.78.252.42:4000/udp/239.77.1.43:5146$广东电信
CCTV14,http://117.90.94.229:6000/rtp/239.49.1.14:6000$江苏电信
CCTV14,http://180.111.29.214:8888/rtp/239.49.1.14:6000$江苏电信
CCTV14,http://183.7.144.126:8880/udp/239.77.0.43:5146$广东电信
CCTV14,http://183.7.144.126:8880/udp/239.77.1.43:5146$广东电信
CCTV15,http://113.78.252.42:4000/udp/239.77.0.44:5146$广东电信
CCTV15,http://113.78.252.42:4000/udp/239.77.1.11:5146$广东电信
CCTV15,http://117.90.94.229:6000/rtp/239.49.1.15:6000$江苏电信
CCTV15,http://180.111.29.214:8888/rtp/239.49.1.15:6000$江苏电信
CCTV15,http://183.7.144.126:8880/udp/239.77.0.44:5146$广东电信
CCTV15,http://183.7.144.126:8880/udp/239.77.1.11:5146$广东电信
CCTV16,http://113.78.252.42:4000/udp/239.77.1.98:5146$广东电信
CCTV16,http://183.7.144.126:8880/udp/239.77.1.98:5146$广东电信
CCTV17,http://113.78.252.42:4000/udp/239.77.1.123:5146$广东电信
CCTV17,http://117.90.94.229:6000/rtp/239.49.1.7:6000$江苏电信
CCTV17,http://117.90.94.229:6000/rtp/239.49.0.7:8048$江苏电信
CCTV17,http://180.111.29.214:8888/rtp/239.49.1.7:6000$江苏电信
CCTV17,http://180.111.29.214:8888/rtp/239.49.0.7:8048$江苏电信
CCTV17,http://183.7.144.126:8880/udp/239.77.1.123:5146$广东电信
CCTV17,http://220.175.144.78:9000/rtp/239.252.220.192:5140$江西电信
兵器科技,http://117.90.94.229:6000/rtp/239.49.1.64:6000$江苏电信
兵器科技,http://117.90.94.229:6000/rtp/239.49.0.160:9274$江苏电信
兵器科技,http://180.111.29.214:8888/rtp/239.49.1.64:6000$江苏电信
兵器科技,http://180.111.29.214:8888/rtp/239.49.0.160:9274$江苏电信
风云音乐,http://117.90.94.229:6000/rtp/239.49.1.68:6000$江苏电信
风云音乐,http://117.90.94.229:6000/rtp/239.49.0.151:9202$江苏电信
风云音乐,http://180.111.29.214:8888/rtp/239.49.1.68:6000$江苏电信
风云音乐,http://180.111.29.214:8888/rtp/239.49.0.151:9202$江苏电信
风云足球,http://117.90.94.229:6000/rtp/239.49.1.61:6000$江苏电信
风云足球,http://117.90.94.229:6000/rtp/239.49.0.153:9218$江苏电信
风云足球,http://180.111.29.214:8888/rtp/239.49.1.61:6000$江苏电信
风云足球,http://180.111.29.214:8888/rtp/239.49.0.153:9218$江苏电信
风云剧场,http://117.90.94.229:6000/rtp/239.49.1.65:6000$江苏电信
风云剧场,http://117.90.94.229:6000/rtp/239.49.0.152:9210$江苏电信
风云剧场,http://180.111.29.214:8888/rtp/239.49.1.65:6000$江苏电信
风云剧场,http://180.111.29.214:8888/rtp/239.49.0.152:9210$江苏电信
怀旧剧场,http://117.90.94.229:6000/rtp/239.49.1.67:6000$江苏电信
怀旧剧场,http://180.111.29.214:8888/rtp/239.49.1.67:6000$江苏电信
第一剧场,http://117.90.94.229:6000/rtp/239.49.1.226:6000$江苏电信
第一剧场,http://180.111.29.214:8888/rtp/239.49.1.226:6000$江苏电信
女性时尚,http://117.90.94.229:6000/rtp/239.49.1.69:6000$江苏电信
女性时尚,http://117.90.94.229:6000/rtp/239.49.0.159:9266$江苏电信
女性时尚,http://180.111.29.214:8888/rtp/239.49.1.69:6000$江苏电信
女性时尚,http://180.111.29.214:8888/rtp/239.49.0.159:9266$江苏电信
世界地理,http://117.90.94.229:6000/rtp/239.49.1.63:6000$江苏电信
世界地理,http://117.90.94.229:6000/rtp/239.49.0.155:9234$江苏电信
世界地理,http://180.111.29.214:8888/rtp/239.49.1.63:6000$江苏电信
世界地理,http://180.111.29.214:8888/rtp/239.49.0.155:9234$江苏电信
高尔夫网球,http://117.90.94.229:6000/rtp/239.49.1.62:6000$江苏电信
高尔夫网球,http://117.90.94.229:6000/rtp/239.49.0.154:9226$江苏电信
高尔夫网球,http://180.111.29.214:8888/rtp/239.49.1.62:6000$江苏电信
高尔夫网球,http://180.111.29.214:8888/rtp/239.49.0.154:9226$江苏电信
央视文化精品,http://117.90.94.229:6000/rtp/239.49.1.66:6000$江苏电信
央视文化精品,http://180.111.29.214:8888/rtp/239.49.1.66:6000$江苏电信
电视指南,http://117.90.94.229:6000/rtp/239.49.1.60:6000$江苏电信
电视指南,http://117.90.94.229:6000/rtp/239.49.0.161:9282$江苏电信
电视指南,http://180.111.29.214:8888/rtp/239.49.1.60:6000$江苏电信
电视指南,http://180.111.29.214:8888/rtp/239.49.0.161:9282$江苏电信
中学生,http://113.78.252.42:4000/udp/239.77.1.195:5146$广东电信
中学生,http://183.7.144.126:8880/udp/239.77.1.195:5146$广东电信
中学生,http://220.175.144.78:9000/rtp/239.252.220.174:5140$江西电信
发现之旅,http://113.78.252.42:4000/udp/239.77.1.112:5146$广东电信
发现之旅,http://183.7.144.126:8880/udp/239.77.1.112:5146$广东电信
国学频道,http://113.78.252.42:4000/udp/239.77.1.105:5146$广东电信
国学频道,http://183.7.144.126:8880/udp/239.77.1.105:5146$广东电信
环球奇观,http://113.78.252.42:4000/udp/239.77.0.224:5146$广东电信
环球奇观,http://113.78.252.42:4000/udp/239.77.1.198:5146$广东电信
环球奇观,http://183.7.144.126:8880/udp/239.77.0.224:5146$广东电信
环球奇观,http://183.7.144.126:8880/udp/239.77.1.198:5146$广东电信

卫视频道,#genre#
湖南卫视,http://113.78.252.42:4000/udp/239.77.0.46:5146$广东电信
湖南卫视,http://113.78.252.42:4000/udp/239.77.1.29:5146$广东电信
湖南卫视,http://117.90.94.229:6000/rtp/239.49.1.38:6000$江苏电信
湖南卫视,http://117.90.94.229:6000/rtp/239.49.0.54:8424$江苏电信
湖南卫视,http://180.111.29.214:8888/rtp/239.49.1.38:6000$江苏电信
湖南卫视,http://180.111.29.214:8888/rtp/239.49.0.54:8424$江苏电信
湖南卫视,http://183.7.144.126:8880/udp/239.77.0.46:5146$广东电信
湖南卫视,http://183.7.144.126:8880/udp/239.77.1.29:5146$广东电信
湖南卫视,http://220.175.144.78:9000/rtp/239.252.219.201:5140$江西电信
浙江卫视,http://113.78.252.42:4000/udp/239.77.0.47:5146$广东电信
浙江卫视,http://113.78.252.42:4000/udp/239.77.1.32:5146$广东电信
浙江卫视,http://117.90.94.229:6000/rtp/239.49.1.34:6000$江苏电信
浙江卫视,http://117.90.94.229:6000/rtp/239.49.0.50:8392$江苏电信
浙江卫视,http://180.111.29.214:8888/rtp/239.49.1.34:6000$江苏电信
浙江卫视,http://180.111.29.214:8888/rtp/239.49.0.50:8392$江苏电信
浙江卫视,http://183.7.144.126:8880/udp/239.77.0.47:5146$广东电信
浙江卫视,http://183.7.144.126:8880/udp/239.77.1.32:5146$广东电信
浙江卫视,http://220.175.144.78:9000/rtp/239.252.219.210:5140$江西电信
江苏卫视,http://113.78.252.42:4000/udp/239.77.0.48:5146$广东电信
江苏卫视,http://113.78.252.42:4000/udp/239.77.1.40:5146$广东电信
江苏卫视,http://117.90.94.229:6000/rtp/239.49.1.16:6000$江苏电信
江苏卫视,http://117.90.94.229:6000/rtp/239.49.0.16:8120$江苏电信
江苏卫视,http://180.111.29.214:8888/rtp/239.49.1.16:6000$江苏电信
江苏卫视,http://180.111.29.214:8888/rtp/239.49.0.16:8120$江苏电信
江苏卫视,http://183.7.144.126:8880/udp/239.77.0.48:5146$广东电信
江苏卫视,http://183.7.144.126:8880/udp/239.77.1.40:5146$广东电信
江苏卫视,http://220.175.144.78:9000/rtp/239.252.219.214:5140$江西电信
东方卫视,http://113.78.252.42:4000/udp/239.77.0.49:5146$广东电信
东方卫视,http://113.78.252.42:4000/udp/239.77.1.48:5146$广东电信
东方卫视,http://117.90.94.229:6000/rtp/239.49.1.32:6000$江苏电信
东方卫视,http://117.90.94.229:6000/rtp/239.49.0.48:8376$江苏电信
东方卫视,http://180.111.29.214:8888/rtp/239.49.1.32:6000$江苏电信
东方卫视,http://180.111.29.214:8888/rtp/239.49.0.48:8376$江苏电信
东方卫视,http://183.7.144.126:8880/udp/239.77.0.49:5146$广东电信
东方卫视,http://183.7.144.126:8880/udp/239.77.1.48:5146$广东电信
东方卫视,http://220.175.144.78:9000/rtp/239.252.219.229:5140$江西电信
深圳卫视,http://113.78.252.42:4000/udp/239.77.0.55:5146$广东电信
深圳卫视,http://113.78.252.42:4000/udp/239.77.1.21:5146$广东电信
深圳卫视,http://117.90.94.229:6000/rtp/239.49.1.59:6000$江苏电信
深圳卫视,http://117.90.94.229:6000/rtp/239.49.0.100:8788$江苏电信
深圳卫视,http://180.111.29.214:8888/rtp/239.49.1.59:6000$江苏电信
深圳卫视,http://180.111.29.214:8888/rtp/239.49.0.100:8788$江苏电信
深圳卫视,http://183.7.144.126:8880/udp/239.77.0.55:5146$广东电信
深圳卫视,http://183.7.144.126:8880/udp/239.77.1.21:5146$广东电信
深圳卫视,http://220.175.144.78:9000/rtp/239.252.219.212:5140$江西电信
北京卫视,http://113.78.252.42:4000/udp/239.77.0.51:5146$广东电信
北京卫视,http://113.78.252.42:4000/udp/239.77.1.14:5146$广东电信
北京卫视,http://117.90.94.229:6000/rtp/239.49.1.33:6000$江苏电信
北京卫视,http://117.90.94.229:6000/rtp/239.49.0.49:8384$江苏电信
北京卫视,http://180.111.29.214:8888/rtp/239.49.1.33:6000$江苏电信
北京卫视,http://180.111.29.214:8888/rtp/239.49.0.49:8384$江苏电信
北京卫视,http://183.7.144.126:8880/udp/239.77.0.51:5146$广东电信
北京卫视,http://183.7.144.126:8880/udp/239.77.1.14:5146$广东电信
北京卫视,http://220.175.144.78:9000/rtp/239.252.219.206:5140$江西电信
广东卫视,http://113.78.252.42:4000/udp/239.77.0.2:5146$广东电信
广东卫视,http://113.78.252.42:4000/udp/239.77.1.2:5146$广东电信
广东卫视,http://117.90.94.229:6000/rtp/239.49.1.39:6000$江苏电信
广东卫视,http://117.90.94.229:6000/rtp/239.49.0.55:8432$江苏电信
广东卫视,http://180.111.29.214:8888/rtp/239.49.1.39:6000$江苏电信
广东卫视,http://180.111.29.214:8888/rtp/239.49.0.55:8432$江苏电信
广东卫视,http://183.7.144.126:8880/udp/239.77.0.2:5146$广东电信
广东卫视,http://183.7.144.126:8880/udp/239.77.1.2:5146$广东电信
广东卫视,http://220.175.144.78:9000/rtp/239.252.219.213:5140$江西电信
广西卫视,http://113.78.252.42:4000/udp/239.77.0.66:5146$广东电信
广西卫视,http://113.78.252.42:4000/udp/239.77.1.59:5146$广东电信
广西卫视,http://117.90.94.229:6000/rtp/239.49.1.40:6000$江苏电信
广西卫视,http://117.90.94.229:6000/rtp/239.49.0.56:8440$江苏电信
广西卫视,http://180.111.29.214:8888/rtp/239.49.1.40:6000$江苏电信
广西卫视,http://180.111.29.214:8888/rtp/239.49.0.56:8440$江苏电信
广西卫视,http://183.7.144.126:8880/udp/239.77.0.66:5146$广东电信
广西卫视,http://183.7.144.126:8880/udp/239.77.1.59:5146$广东电信
广西卫视,http://220.175.144.78:9000/rtp/239.252.219.183:5140$江西电信
东南卫视,http://113.78.252.42:4000/udp/239.77.0.65:5146$广东电信
